time,ue_id,x,y,velocity,connected_bs,handover_count
99,0,12737.160755043078,1296.8394143048693,14.900152934150173,10,1
99,1,7336.902146739858,1075.039977147855,3.869094805838551,1,0
99,2,10133.480292767756,2746.646164964609,4.073841884700884,1,0
99,3,11354.909590958805,12568.798999475548,12.884006260767336,4,1
99,4,3459.1887992049983,321.5444887572972,11.372276004768459,0,1
99,5,16001.890642134522,12704.538617966298,11.750510682720085,4,0
99,6,6553.738740156745,13072.757486091528,1.1196196888148258,4,0
99,7,15918.280699227062,5511.580095251367,17.332661943912335,7,0
99,8,18466.853121718566,5913.732083776107,11.215977314127965,2,1
99,9,12368.650446781492,12405.66684408772,3.658730049053902,4,0
99,10,1204.5616181933656,10592.102254620315,9.254846643167982,3,1
99,11,12847.156077288286,14413.988531823414,2.462931191190423,12,0
99,12,3660.678827322551,2080.159590375005,16.007281827924324,0,1
99,13,7199.0255174185,17153.560655465368,14.633594915948702,7,1
99,14,16421.058170913246,0.0,13.145446243281222,2,1
99,15,13681.077071609516,17525.618946953375,2.23664161158748,7,0
99,16,15836.200461902024,8666.826666547062,11.570597307779103,5,1
99,17,4241.119364546197,10455.109137239038,8.20298090374987,14,3
99,18,3261.5188320693446,10199.351370939848,4.404324467435088,3,0
99,19,15066.84398790459,18655.06237566298,6.991038904394864,12,0
99,20,2319.5038266784345,14103.029486219399,10.14971642866071,3,1
99,21,2038.6780874868348,16762.568390580174,9.70834984833752,6,1
99,22,13122.403080125745,16254.029330308033,15.35829637286129,7,2
99,23,12079.23961699258,17253.058931246465,3.713473233631508,7,0
99,24,11948.235445140366,13078.675266438062,10.79445422330582,4,1
99,25,2787.1267141098087,3699.301438111888,11.135733679838406,0,1
99,26,9953.697722960002,9545.75416565479,3.898534672099394,4,0
99,27,14358.484661126433,16757.623753023596,10.116947475882958,8,1
99,28,12890.778288537604,16425.14895398843,12.806583485166081,8,0
99,29,2767.174590899808,19468.361580945584,7.92357261393261,6,0
99,30,18538.39160541301,17926.66763859863,16.15992188024051,8,1
99,31,13654.00959852006,3602.349862593668,14.882578558172693,5,1
99,32,7186.324750309213,2957.939362076147,1.6391478388950365,1,0
99,33,2554.377211204307,7880.202921317131,11.209314399743604,1,0
99,34,16328.840319922925,12920.938784764849,0.6006578900492587,5,0
99,35,17666.924642406124,9228.320746023883,3.2655706621751035,5,0
99,36,8770.694660455209,1015.8388194574251,17.57996967800629,1,1
99,37,8830.213693709742,2332.2427921968047,0.2473994793569645,1,0
99,38,18989.862700836005,18619.0249359699,14.315585387853284,5,0
99,39,13063.386706156882,14842.83365586129,13.013532897486463,5,1
99,40,15216.3451023643,5405.155615354072,14.992858660541595,4,0
99,41,15679.201602798616,7832.530894150799,16.28783381200176,5,1
99,42,18932.788653462194,8102.855663494882,8.326380632332693,5,0
99,43,16292.844301058212,4725.360991105893,15.779686102678882,2,0
99,44,11993.299778504053,9936.087286105982,14.3776046023379,1,0
99,45,6031.068785972967,12601.759796155837,15.981744404849099,4,1
99,46,3494.298212311603,13449.614021289646,5.088961036016255,6,0
99,47,6026.615226128147,12899.188495188973,14.014813922654003,4,1
99,48,10958.370196914577,19709.360896954546,18.71976148036604,7,1
99,49,797.5773371139198,5684.274054225682,4.735174703281066,0,0
