time,ue_id,bs_id,latency,throughput,distance
0,0,5,37.83147515134761,40.82853071804598,3604.5436387049976
0,1,1,51.974015070975575,36.37942999525423,2417.5191466928172
0,2,1,53.00519788845305,29.85771746080728,2959.797275691627
0,4,3,30.282654912844674,76.80611330291703,371.86387835862774
0,6,4,60.87564259935525,18.500787205059513,3513.56936765659
0,7,7,27.772964794286096,57.12852220755043,2789.6524645649893
0,8,1,51.81149981537808,39.36450085887518,2069.8049804118036
0,9,4,64.00076599784241,10.0,4840.949496336768
0,10,4,59.83602476225578,30.374055453896258,2218.7293189447237
0,11,12,15.515207528316889,91.6106372838172,229.4002722282866
0,12,3,33.72119494387941,34.11726470119494,4853.684280445841
0,13,5,38.23486639067717,31.562395977099538,4468.160709978491
0,14,4,60.497177177342294,39.94805356318142,1121.754954780921
0,15,7,29.101691694713104,37.79239615863663,4747.497672240756
0,16,4,60.2725909596332,22.987974893220485,2972.0627336833795
0,17,1,54.281900062005455,14.13539414610301,4941.289091591293
0,20,4,61.01425434725648,16.863765053914694,3807.94455915627
0,21,4,60.09543628450163,24.720620720402454,2854.2220084208775
0,22,3,33.86610557633554,41.54404870400277,3831.3358106023193
0,23,7,27.085127524820987,68.81675015836896,1598.742664557925
0,24,5,37.69421560035923,44.30604555479623,3176.9699350363467
0,25,3,31.96318178819749,51.28237440607259,3025.0014403569203
0,26,4,63.65089084390824,10.126863478076999,4229.730961559756
0,27,5,38.378391746342324,31.188051611732913,4476.788520895384
0,28,8,24.797767648391073,42.36318979722457,4972.8071085914935
0,31,4,61.568621883032804,19.245357014234585,3278.98205181994
0,32,1,54.44150545050369,17.298268645383427,4163.318299921032
0,33,1,54.61219371250669,15.310454657345375,4594.768862859691
0,35,5,38.024114598021235,32.42263559744967,4330.692286988065
0,37,1,52.759901158109166,32.68795816108695,2739.9125489450375
0,39,4,63.956928628336364,10.0,4981.657663892015
0,40,4,60.92081058396349,18.703148922952824,3461.898600792403
0,41,4,60.74036117906195,21.211923047628183,3119.9580572090663
0,44,1,54.13217733819505,16.649678023784258,4378.4941386461605
0,45,2,19.657955150894697,53.75473487387445,3991.061968463031
0,46,6,18.648281781141403,64.9146166172601,2950.5364756987033
0,47,8,23.42619634348591,62.341292551303525,2783.680282996965
0,49,0,18.34577464621972,67.76834511137153,2604.241783659043
1,0,5,43.15575205359415,35.43348949139723,3462.873883752011
1,1,1,51.974015070975575,36.37942999525423,2392.0640978728547
1,2,1,52.836744360778646,30.539592086139884,2930.128159931633
1,4,3,30.28769211317391,77.609657250248,278.90553091615146
1,5,4,63.956928628336364,10.0,4945.288068414842
1,6,4,60.87564259935525,18.500787205059513,3524.7021415247223
1,7,7,27.516565056082904,58.35815904228236,2696.814198385961
1,8,1,51.888803726452544,38.38003378759157,2170.0315633821474
1,9,4,64.00076599784241,10.0,4814.771004544588
1,10,4,59.67243643172664,30.723456768887296,2195.130123537482
1,11,12,15.520196343726848,91.79538739634347,207.1958903170352
1,12,3,33.71262472834664,34.233916254026006,4738.289830875254
1,13,5,43.6753094585076,25.923298246503336,4581.771765693986
1,14,4,59.51351603397867,42.47713166589737,995.7879842501
1,15,7,29.101691694713104,37.79239615863663,4739.278540392666
1,16,4,60.64967668766977,21.489487733929312,3082.0965097619473
1,17,1,54.281900062005455,14.13539414610301,4994.9382859094185
1,20,4,61.24835676632796,16.217116180315138,3880.7047810926565
1,21,4,59.96779124051594,24.779380644718405,2871.02697483871
1,22,3,33.87275460054561,39.958981100967605,3984.736298291363
1,23,7,27.085127524820987,68.81675015836896,1585.8459560096212
1,24,5,43.672338474954266,36.89439495042691,3100.484439158039
1,25,3,32.046237307491715,49.919483736091316,3136.10449608955
1,26,4,63.36842533689771,10.361287259227877,4190.831720874198
1,27,5,43.6753094585076,25.923298246503336,4576.015059096637
1,28,8,24.842714793651307,42.48868515639902,4849.9072731948445
1,31,4,61.14886549405298,19.02480781180967,3403.6950998988727
1,32,1,54.44150545050369,17.298268645383427,4159.3449889381845
1,33,1,54.61219371250669,15.310454657345375,4566.674173981508
1,35,5,43.74362145988863,27.26513707638907,4303.712680268807
1,37,1,52.759901158109166,32.68795816108695,2738.5135869599103
1,39,5,43.51580173796912,23.428288515244226,4915.178476405022
1,40,4,60.92081058396349,18.703148922952824,3482.2953363444926
1,41,4,60.68143268253553,22.021959108025143,3029.2266101003265
1,44,1,54.28881586676721,17.17874994724897,4241.599303530808
1,45,2,19.542273637310856,53.44507894183857,4103.621274311351
1,46,6,18.317182036839345,62.47043913546734,2986.7503991280255
1,47,8,23.89609798412476,61.179611732856586,2868.331095405904
1,49,0,18.34577464621972,67.76834511137153,2612.782815217135
2,0,5,43.214610329250974,36.31233471723032,3321.8457426116315
2,1,1,52.05291907448054,36.6245057048832,2366.9677756491524
2,2,1,52.77424376646918,31.765865576097987,2900.7277348274874
2,4,3,30.243744055008005,77.70085763345928,207.7488354457063
2,5,4,64.00076599784241,10.0,4827.962118358382
2,6,4,60.87564259935525,18.500787205059513,3535.835315912311
2,7,7,27.506155764902786,58.556840179729214,2612.1900777300066
2,8,1,51.94752076679558,37.263403712068325,2271.3742414305557
2,9,4,64.00076599784241,10.0,4788.728942781974
2,10,4,59.64490947764544,30.808154564153213,2175.2156594361304
2,11,12,15.504499362305792,92.6822279677785,185.60440469081954
2,12,3,33.950562961421326,34.773098196035946,4625.55689218156
2,13,5,43.317021830143695,25.386985323124104,4697.194196076898
2,14,4,59.174804238957066,44.01990328263876,871.4435104843044
2,15,7,29.101691694713104,37.79239615863663,4731.150867607293
2,16,4,61.181319718577605,20.38346754048072,3192.531384722128
2,17,1,54.281900062005455,14.13539414610301,5049.350141607312
